model,price,transmission,miles_per_gallaon,fuel,year,cubic_capacity,milage,color,type,age,car_brand,car_model
1.4 VVT-i T2 5dr 1.4 Other,2275,Manual,42.2,Petrol,2003,1400.0,63000,Grey,Other,21,Toyota, Corolla
s 1.3 Vvt-i T Spirit Hatchback 1.3 Other,2275,Automatic,44.8,Petrol,2004,1300.0,134000,Green,Other,20,Toyota, Yaris
o 1.0L VVT-I PLUS 3d 67 BHP Hatchback,2295,Manual,61.4,Petrol,2005,998.0,70158,RED,Hatchback,19,Toyota, Aygo
TR VVTI,2295,Manual,47.1,Petrol,2008,1296.0,90000,Grey,Hatchback,16,Toyota, Yaris
1.0 VVT-i T3 5dr Hatchback,2295,Manual,52.3,Petrol,2006,998.0,99000,Silver,Hatchback,18,Toyota, Yaris
s 1.3 VVT-i T Spirit 5dr Hatchback,2295,Manual,47.1,Petrol,2006,1299.0,103800,Blue,Hatchback,18,Toyota, Yaris
a HATCHBACK SPECIAL EDS Hatchback,2295,Manual,40.4,Petrol,2006,1598.0,108000,Silver,Hatchback,18,Toyota, Corolla
4 2.0 VVT-i GX 4WD 5dr ONLY 1 PREVIOUS OWNER SUV,2295,Manual,32.1,Petrol,2003,1998.0,114000,Beige,SUV,21,Toyota, RAV4
4 2.2 XT-R D-4D 5d 135 BHP 12 MONTHS PARTS & LABOUR WARRANTY INCLUDED Estate,2295,Manual,42.8,Diesel,2007,2231.0,143027,BLACK,Estate,17,Toyota, RAV4
s 1.3 VVT-i T Spirit 5dr Hatchback,2295,Manual,48.7,Petrol,2004,1299.0,47000,Green,Hatchback,20,Toyota, Yaris
1.0 12v PLATINUM VVT-I 3d 68 BHP * IDEAL FIRST CAR Hatchback,2375,Manual,61.4,Petrol,2008,998.0,108000,SILVER,Hatchback,16,Toyota, Aygo
Hatchback,2395,Manual,42.2,Petrol,2006,1398.0,73000,Black,Hatchback,18,Toyota, Corolla
s 1.6 TR VVT-I 5d 122 BHP Hatchback,2395,Manual,39.8,Petrol,2007,1598.0,80000,SILVER,Hatchback,17,Toyota, Auris
s 1.0 T2 VVT-I 5d 69 BHP Hatchback,2395,Manual,52.3,Petrol,2006,998.0,92000,SILVER,Hatchback,18,Toyota, Yaris
1.0 COLOUR COLLECTION VVT-I 3d 65 BHP ****** 12 MONTHS MOT ON SALE ****** Hatchback,2395,Manual,50.4,Petrol,2005,998.0,96616,SILVER,Hatchback,19,Toyota, Yaris
1.4 VVT-i T3 Hatchback 5dr Petrol Manual (159 g/km 95 bhp) Hatchback,2395,Manual,42.2,Petrol,2004,1400.0,136420,Grey,Hatchback,20,Toyota, Corolla
1.0 BLACK VVT-I 5d 67 BHP Hatchback,2400,Manual,62.8,Petrol,2009,1000.0,67141,Black,Hatchback,15,Toyota, Aygo
TR Hatchback,2450,Manual,47.1,Petrol,2008,1296.0,87000,Grey,Hatchback,16,Toyota, Yaris
a HATCHBACK Hatchback,2450,Manual,42.2,Petrol,2004,1398.0,100529,Silver,Hatchback,20,Toyota, Corolla
s HATCHBACK SPECIAL EDS Hatchback,2450,Manual,47.1,Petrol,2007,1296.0,115000,Black,Hatchback,17,Toyota, Yaris
1.0 Vvt-i Tr Hatchback 1 Other,2475,Manual,56.5,Petrol,2009,1000.0,124000,Silver,Other,15,Toyota, Yaris
Hatchback,2489,Manual,54.3,Petrol,2010,1329.0,98000,Red,Hatchback,14,Toyota, Yaris
Vvti T3-x 1.8 Other,2490,Manual,39.2,Petrol,2008,1800.0,109936,Silver,Other,16,Toyota, Avensis
o 1.0 VVT-i Fire Euro 5 3dr Hatchback,2494,Manual,65.7,Petrol,2013,998.0,81313,White,Hatchback,11,Toyota, Aygo
s 1.0 T3 Hatchback,2495,Automatic,52.3,Petrol,2004,998.0,75800,Silver,Hatchback,20,Toyota, Yaris
1.6 VVT-i TR 3dr Hatchback,2495,Manual,39.8,Petrol,2008,1598.0,76000,Black,Hatchback,16,Toyota, Auris
1.0 VVT-i 2 Euro 4 3dr DELIVERY/WARRANTY/FINANCE Hatchback,2495,Manual,65.7,Petrol,2009,996.0,89000,White,Hatchback,15,Toyota, IQ
o Vvt-i + 1 Other,2495,Manual,61.4,Petrol,2006,1000.0,91541,Blue,Other,18,Toyota, Aygo
1.6 VVT-i Colour Collection 5dr Hatchback,2495,Manual,40.4,Petrol,2005,1598.0,96000,Grey,Hatchback,19,Toyota, Corolla
s 1.3 VVT-i TR 5dr Hatchback,2495,Manual,47.1,Petrol,2008,1296.0,103638,Grey,Hatchback,16,Toyota, Yaris
1.3 VVT-i T Spirit 5dr Hatchback,2495,Manual,47.1,Petrol,2007,1300.0,105000,Silver,Hatchback,17,Toyota, Yaris
1.3 T3 VVT-I 3d 86 BHP FOR SALE WITH 12 MONTHS MOT Hatchback,2495,Manual,47.1,Petrol,2006,1296.0,107000,BLUE,Hatchback,18,Toyota, Yaris
1.3 VVT-i Colour Collection 5dr Hatchback,2495,Manual,50.4,Petrol,2005,1299.0,121000,Black,Hatchback,19,Toyota, Yaris
2.2 T180 D-4D 5d 175 BHP Hatchback,2495,Manual,46.3,Diesel,2007,2231.0,126500,SILVER,Hatchback,17,Toyota, Avensis
a Verso 2.2 T3 D-4D 5d 135 BHP MPV,2495,Manual,44.8,Diesel,2008,2231.0,135000,SILVER,MPV,16,Toyota, Corolla
VVTI T SPIRIT Hatchback,2495,Automatic,44.8,Petrol,2005,1299.0,144500,Silver,Hatchback,19,Toyota, Yaris
4 2.0 D-4D XT3 4WD 3dr SUV,2495,Manual,39.8,Diesel,2005,1995.0,148000,Blue,SUV,19,Toyota, RAV4
s 1.5 T3 VVT-I 5d 77 BHP Hatchback,2495,Automatic,65.7,Other,2007,1497.0,260000,SILVER,Hatchback,17,Toyota, Prius
D-4D T2 Saloon,2495,Manual,62.8,Diesel,2013,1998.0,290000,Grey,Saloon,11,Toyota, Avensis
s 1.4 VVT-i T3 5dr Hatchback,2495,Manual,40.9,Petrol,2007,1398.0,80000,Grey,Hatchback,17,Toyota, Auris
s 2.0 D-4D Colour Collection 5dr Hatchback,2495,Manual,51.4,Diesel,2007,1998.0,102000,Blue,Hatchback,17,Toyota, Avensis
o 1.0 Vvt-i Blue Hatchback 1 Other,2499,Manual,62.8,Petrol,2009,1000.0,88000,Blue,Other,15,Toyota, Aygo
s 1.4 T SPIRIT D-4D 5DR Manual Hatchback,2499,Manual,62.8,Diesel,2008,1364.0,102000,Silver,Hatchback,16,Toyota, Yaris
Hatchback,2499,Manual,52.3,Petrol,2007,998.0,104800,Silver,Hatchback,17,Toyota, Yaris
o 1.0 BLUE VVT-I 5DR Manual Hatchback,2500,Manual,61.4,Petrol,2007,998.0,61500,Blue,Hatchback,17,Toyota, Aygo
1.0 VVT-i 3dr Hatchback,2500,Manual,65.7,Petrol,2009,998.0,90000,SILVER,Hatchback,15,Toyota, IQ
o Hatchback,2500,Manual,61.4,Petrol,2011,998.0,100000,White,Hatchback,13,Toyota, Aygo
s 2.0 D-4D T2 Euro 4 4dr Saloon,2500,Manual,55.4,Diesel,2009,1998.0,117450,Black,Saloon,15,Toyota, Avensis
s 1.3 T3 VVT-I MM 3d 86 BHP Hatchback,2500,Automatic,48.7,Petrol,2006,1296.0,122000,Silver,Hatchback,18,Toyota, Yaris
4 2.0 D-4D XT-R 4WD 5dr 2Keys|P/history|long mot SUV,2500,Manual,39.8,Diesel,2005,1995.0,136000,Silver,SUV,19,Toyota, RAV4
o 1.0 VVT-i Blue 5dr Hatchback,2500,Manual,62.8,Petrol,2009,998.0,86000,BLUE,Hatchback,15,Toyota, Aygo
