url,name,model,price,1,2,3,6,7,8,9,10,11,12,13,14
/ad/30900234,Volkswagen Touareg,g 3.0 V6 TDI 4Motion 231 Black Edition 5dr Tip Auto SUV,"41,789",2020,Semi-Auto,33.6 mpg,Diesel,2020,3L,"16,470 miles",Diesel,Semiauto,Black,SUV,33.6 mpg
/ad/30767064,Volkswagen California,OCEAN 2.0 TDI BMT DSG AUTOMATIC VAT QUALIFYING!! Other,"41,666",2019,Automatic,32.1 mpg,Diesel,2019,1968cc,"39,000 miles",Diesel,Automatic,White,Other,32.1 mpg
/ad/30015552,Volkswagen Caravelle,e 2.0 TDI BlueMotion Tech 150 Executive 5dr DSG MPV,"41,659",2021,Semi-Auto,32.8 mpg,Diesel,2021,2L,"20,490 miles",Diesel,Semiauto,Brown,MPV,32.8 mpg
/ad/30484479,Volkswagen Golf,f Hatchback,"41,500",2022,Automatic,36.2 mpg,Petrol,2022,1984cc,"21,123 miles",Petrol,Automatic,White,Hatchback,36.2 mpg
/ad/30938951,Volkswagen Touareg,g V6 Black Edition Estate,"41,500",2020,Automatic,33.6 mpg,Diesel,2020,2967cc,"45,649 miles",Diesel,Automatic,Black,Estate,33.6 mpg
/ad/30803056,Volkswagen ID5,150kW Style Pro Performance 77kWh 5dr Auto SUV,"41,500",2023,Automatic,Tax: £0,2023,100 miles,Electric,Automatic,Black,SUV,,,
/ad/30805987,Volkswagen ID5,150kW Style Pro Performance 77kWh 5dr Auto SUV,"41,500",2023,Automatic,Tax: £0,2023,100 miles,Electric,Automatic,Black,SUV,,,
/ad/30918348,Volkswagen Touareg,g 3.0 V6 TDI 4Motion Black Edition 5dr Tip Auto SUV,"41,491",2020,Semi-Auto,33.6 mpg,Diesel,2020,3L,"29,854 miles",Diesel,Semiauto,Grey,SUV,33.6 mpg
/ad/30368886,Volkswagen Tiguan,2.0 TDI 200 4Motion R-Line 5dr DSG SUV,"41,490",2023,Automatic,42.8 mpg,Diesel,2023,1968cc,"1,250 miles",Diesel,Automatic,Grey,SUV,42.8 mpg
/ad/30753732,Volkswagen ID4,150kW Style Ed Pro Perform 77kWh 5dr Auto 125kW Ch SUV,"41,490",2023,Automatic,Tax: £0,2023,"2,301 miles",Electric,Automatic,White,SUV,,,
/ad/30742623,Volkswagen ID3,150kW Pro S Launch Edition 4 77kWh 5dr Auto Hatchback,"41,490",2023,Automatic,Tax: £0,2023,"5,000 miles",Electric,Automatic,Grey,Hatchback,,,
/ad/30744482,Volkswagen ID5,128kW Tech Pro 77kWh 5dr Auto SUV,"41,490",2023,Automatic,Tax: £0,2023,25 miles,Electric,Automatic,White,SUV,,,
/ad/30479543,Volkswagen ID4,(204ps) Life Edition(77kWh) Pro Performance Narvik alloys,"41,444",2023,Automatic,Tax: £0,2023,"1,754 miles",Electric,Automatic,Blue,Estate,,,
/ad/30881226,Volkswagen Touareg,g 3.0 V6 TDI 4Motion Black Edition 5dr Tip Auto SUV,"41,400",2020,Semi-Auto,33.6 mpg,Diesel,2020,3L,"25,800 miles",Diesel,Semiauto,Black,SUV,33.6 mpg
/ad/29250275,Volkswagen ID5,150kW Style Pro Performance 77kWh 5dr Auto Coupe,"41,000",2022,Automatic,Tax: n/a,2022,500 miles,Electric,Automatic,Grey,Coupe,,,
/ad/30331904,Volkswagen Touareg,g 3.0 V6 BLACK EDITION TSI 5d 336 BHP Estate,"41,000",2021,Automatic,26.2 mpg,Petrol,2021,2995cc,"36,359 miles",Petrol,Automatic,WHITE,Estate,26.2 mpg
/ad/30652632,Volkswagen ID5,220kW GTX Style 77kWh AWD 5dr Auto SUV,"40,999",2023,Automatic,Tax: £0,2023,"1,200 miles",Electric,Automatic,Silver,SUV,,,
/ad/30958270,Volkswagen Touareg,g 3.0 V6 TSI 4Motion Black Edition 5dr Tip Auto SUV,"40,999",2020,Semi-Auto,26.2 mpg,Petrol,2020,3L,"23,124 miles",Petrol,Semiauto,Black,SUV,26.2 mpg
/ad/30858897,Volkswagen Tiguan,n 1.4 TSI eHybrid R-Line 5dr DSG SUV,"40,995",2023,Semi-Auto,156.9 mpg,Hybrid,2023,1.4L,50 miles,Hybrid,Semiauto,Silver,SUV,156.9 mpg
/ad/30938956,Volkswagen Golf,f HATCHBACK Hatchback,"40,995",2023,Automatic,36.2 mpg,Petrol,2023,1984cc,"3,200 miles",Petrol,Automatic,White,Hatchback,36.2 mpg
/ad/30707790,Volkswagen Golf,f 2.0 TSI 320 R 4Motion 5dr DSG Hatchback,"40,995",2022,Automatic,36.2 mpg,Petrol,2022,1984cc,"13,000 miles",Petrol,Automatic,White,Hatchback,36.2 mpg
/ad/30784406,Volkswagen Tiguan,2.0 TDI 4Motion R-Line 5dr DSG SUV,"40,990",2023,Automatic,44.1 mpg,Diesel,2023,1968cc,10 miles,Diesel,Automatic,Silver,SUV,44.1 mpg
/ad/30868382,Volkswagen Tiguan,2.0 TDI 4Motion Elegance 5dr DSG SUV,"40,990",2023,Automatic,42.8 mpg,Diesel,2023,1968cc,10 miles,Diesel,Automatic,Black,SUV,42.8 mpg
/ad/30525417,Volkswagen ID4,128kW Life Ed Pro 77kWh 5dr Auto (125kW Ch) Estate,"40,990",2023,Automatic,Tax: £0,2023,"1,076 miles",Electric,Automatic,White,Estate,,,
/ad/30624196,Volkswagen ID4,150kW Style Ed Pro Perform 77kWh 5dr Auto 125kW Ch SUV,"40,990",2023,Automatic,Tax: £0,2023,"3,800 miles",Electric,Automatic,White,SUV,,,
/ad/30934665,Volkswagen Tiguan,n 2.0 TSI 320 4Motion R 5dr DSG SUV,"40,990",2023,Semi-Auto,28.3 mpg,Petrol,2023,2L,"12,792 miles",Petrol,Semiauto,Black,SUV,28.3 mpg
/ad/30815953,Volkswagen Touareg,3.0 V6 BLACK EDITION TDI 5d 282 BHP Estate,"40,990",2020,Automatic,33.6 mpg,Diesel,2020,3L,"23,000 miles",Diesel,Automatic,Black,Estate,33.6 mpg
/ad/30778557,Volkswagen Tiguan,n 1.4 TSI eHybrid R-Line 5dr DSG SUV,"40,990",2023,Semi-Auto,156.9 mpg,Hybrid,2023,1.4L,"4,000 miles",Hybrid,Semiauto,White,SUV,156.9 mpg
/ad/30918609,Volkswagen ID5,150kW Style Pro Performance 77kWh 5dr Auto SUV,"40,990",2023,Automatic,Tax: £0,2023,"4,771 miles",Electric,Automatic,Red,SUV,,,
/ad/30860246,Volkswagen Tiguan Allspace,2.0TDI 200 R-Line 4M DSG Swivelling towbar,"40,989",2023,Automatic,42.2 mpg,Diesel,2023,1968cc,"3,989 miles",Diesel,Automatic,Black,SUV,42.2 mpg
/ad/30789812,Volkswagen Touareg,g 3.0 V6 TSI 4Motion Black Edition 5dr Tip Auto SUV,"40,970",2020,Semi-Auto,26.2 mpg,Petrol,2020,3L,"28,376 miles",Petrol,Semiauto,Silver,SUV,26.2 mpg
/ad/28172495,Volkswagen Golf,f GTI Mk8 5DR 2.0 TSI (300ps) GTI Clubsport 45 Edition DSG Hatchback,"40,950",2022,Automatic,37.7 mpg,Petrol,2022,1984cc,70 miles,Petrol,Automatic,White,Hatchback,37.7 mpg
